RaceName,Sex,AgeGroup,CountyName,PoliceAccountability,count
Black,F,45-64,Oakland,Maybe,178
Caucasian,F,30-44,Macomb,Yes,2
Hispanic,F,45-64,Oakland,Yes,14
Caucasian,F,18-29,Oakland,No,42
Caucasian,M,65+,Hillsdale,Other/Unknown,4
Black,F,18-29,Oakland,Yes,92
Unknown,F,18-29,Oakland,Other/Unknown,4
Unknown,F,65+,Oakland,Maybe,2
Caucasian,F,18-29,Macomb,Other/Unknown,5
Unknown,M,18-29,Oakland,Other/Unknown,5
Black,M,18-29,Oakland,Yes,100
Asian,F,65+,Oakland,Other/Unknown,157
Caucasian,M,30-44,Oakland,Other/Unknown,537
Asian,F,65+,Oakland,Maybe,8
Black,F,30-44,Wayne,Yes,5
Black,M,45-64,Wayne,Maybe,3
Caucasian,M,45-64,Leelanau,No,5
Black,F,65+,Wayne,Other/Unknown,4
Hispanic,F,18-29,Oakland,Other/Unknown,5
Asian,M,65+,Oakland,Yes,72
Caucasian,F,45-64,Lapeer,Other/Unknown,4
Unknown,F,65+,Oakland,Yes,51
Hispanic,M,65+,Oakland,Other/Unknown,35
Black,M,30-44,Oakland,No,63
Asian,F,45-64,Oakland,No,9
Black,M,30-44,Oakland,Other/Unknown,300
Asian,F,18-29,Oakland,Maybe,10
Caucasian,M,30-44,Macomb,Other/Unknown,5
Asian,F,65+,Ottawa,Maybe,5
Caucasian,M,18-29,Macomb,Other/Unknown,4
Caucasian,F,65+,Wayne,No,4
Black,F,65+,Oakland,Yes,882
Caucasian,F,18-29,Oakland,Yes,190
Black,F,30-44,Oakland,Other/Unknown,310
Black,M,18-29,Oakland,No,5
Black,F,18-29,Oakland,Maybe,19
Caucasian,M,45-64,Clinton,Yes,5
Caucasian,F,45-64,Washtenaw,Yes,4
Asian,F,45-64,Oakland,Yes,91
Asian,M,18-29,Oakland,Yes,15
Hispanic,M,18-29,Oakland,Yes,5
Hispanic,M,45-64,Oakland,Yes,21
Caucasian,M,65+,Wayne,Other/Unknown,4
Caucasian,F,65+,Oakland,No,1022
Black,M,65+,Oakland,Other/Unknown,637
Caucasian,F,65+,Wayne,Yes,9
Asian,F,45-64,Oakland,Other/Unknown,147
Caucasian,M,18-29,Oakland,No,76
Black,F,30-44,Oakland,No,78
Caucasian,F,18-29,Oakland,Maybe,51
Hispanic,F,65+,Oakland,Other/Unknown,22
Black,M,65+,Oakland,No,133
Black,M,45-64,Oakland,Maybe,82
Caucasian,M,45-64,Emmet,Yes,5
Asian,M,18-29,Oakland,Other/Unknown,29
Unknown,F,30-44,Oakland,Other/Unknown,10
Unknown,M,18-29,Oakland,Yes,5
Black,F,18-29,Oakland,No,16
Hispanic,F,30-44,Oakland,Yes,20
Asian,M,30-44,Wayne,Yes,5
Black,M,65+,Wayne,Yes,14
Caucasian,F,30-44,Wayne,Other/Unknown,5
Caucasian,F,65+,Oakland,Other/Unknown,6304
Asian,M,45-64,Oakland,No,20
Hispanic,F,65+,Oakland,Yes,14
Unknown,F,45-64,Oakland,Maybe,19
Black,M,65+,Oakland,Yes,419
Caucasian,F,45-64,Oakland,No,301
Black,F,30-44,Oakland,Maybe,42
Black,F,65+,Wayne,Yes,5
Caucasian,M,30-44,Oakland,Maybe,90
Asian,F,18-29,Oakland,Other/Unknown,45
Caucasian,M,65+,Oakland,Yes,1767
Black,M,30-44,Oakland,Maybe,42
Caucasian,M,65+,Kent,Yes,4
Caucasian,M,45-64,Oakland,Other/Unknown,1375
Hispanic,F,45-64,Oakland,Other/Unknown,14
Black,M,45-64,Oakland,Yes,319
Caucasian,M,65+,Oakland,Maybe,441
Caucasian,F,30-44,Oakland,Yes,508
Caucasian,F,65+,Kalamazoo,Yes,5
Unknown,F,45-64,Oakland,Other/Unknown,38
Caucasian,F,65+,Isabella,Other/Unknown,4
Caucasian,F,65+,Grand Traverse,Other/Unknown,5
Caucasian,F,45-64,Oakland,Other/Unknown,2355
Black,F,65+,Oakland,Other/Unknown,1206
Black,M,18-29,Oakland,Other/Unknown,100
Black,M,45-64,Oakland,No,71
Caucasian,F,30-44,Macomb,Other/Unknown,4
Unknown,F,65+,Oakland,Other/Unknown,43
Caucasian,F,18-29,Montcalm,Maybe,4
Caucasian,F,45-64,Oakland,Yes,1526
Caucasian,M,18-29,Oakland,Other/Unknown,183
Caucasian,M,18-29,Wayne,Other/Unknown,5
Caucasian,M,65+,Oakland,No,419
Black,F,18-29,Wayne,Maybe,7
Hispanic,M,30-44,Oakland,Other/Unknown,14
Caucasian,F,65+,Oakland,Maybe,975
Caucasian,F,45-64,Oakland,Maybe,344
Asian,F,65+,Oakland,Yes,77
Black,M,18-29,Wayne,Other/Unknown,7
Caucasian,F,30-44,Washtenaw,Other/Unknown,5
Hispanic,M,65+,Oakland,Yes,13
Asian,M,30-44,Oakland,Yes,36
Black,F,45-64,Oakland,No,123
Asian,F,30-44,Oakland,No,4
Asian,M,18-29,Oakland,Maybe,3
Asian,M,65+,Oakland,Other/Unknown,85
Unknown,M,45-64,Oakland,Yes,49
Asian,M,30-44,Oakland,Other/Unknown,48
Unknown,F,30-44,Oakland,Yes,10
Caucasian,F,30-44,Ottawa,Other/Unknown,5
Caucasian,F,30-44,Oakland,No,148
Hispanic,F,18-29,Oakland,Yes,9
Asian,M,45-64,Oakland,Maybe,26
Hispanic,M,45-64,Oakland,Other/Unknown,20
Caucasian,F,45-64,Antrim,Maybe,5
Caucasian,M,65+,Oakland,Other/Unknown,3395
Asian,M,30-44,Oakland,Maybe,10
Unknown,M,65+,Oakland,Maybe,8
Asian,F,30-44,Oakland,Maybe,17
Caucasian,F,65+,Livingston,Other/Unknown,4
Black,F,45-64,Wayne,Other/Unknown,4
Caucasian,M,65+,Macomb,No,5
Caucasian,F,45-64,Kent,Yes,4
Black,F,18-29,Wayne,Yes,5
Caucasian,F,65+,Washtenaw,No,8
Unknown,F,18-29,Oakland,Yes,27
Hispanic,F,30-44,Oakland,Other/Unknown,8
Unknown,M,65+,Oakland,Yes,15
Caucasian,M,30-44,Oakland,No,80
Black,M,18-29,Ottawa,Other/Unknown,5
Caucasian,M,18-29,Oakland,Maybe,25
Black,M,30-44,Wayne,Yes,5
Hispanic,F,45-64,Oakland,No,10
Asian,F,45-64,Oakland,Maybe,19
Black,F,65+,Oakland,No,190
Unknown,M,30-44,Oakland,Other/Unknown,27
Black,M,45-64,Wayne,Other/Unknown,7
Asian,M,45-64,Oakland,Yes,58
Asian,M,65+,Oakland,No,18
Black,F,18-29,Oakland,Other/Unknown,193
Black,M,18-29,Oakland,Maybe,9
Black,F,45-64,Oakland,Yes,537
Caucasian,M,65+,Washtenaw,Yes,5
Asian,M,30-44,Oakland,No,23
Hispanic,M,30-44,Oakland,No,5
Caucasian,F,65+,Ingham,Yes,11
Caucasian,F,65+,Kent,Other/Unknown,5
Caucasian,M,65+,Macomb,Yes,4
Black,F,45-64,Oakland,Other/Unknown,890
Unknown,M,45-64,Oakland,Maybe,2
Black,M,30-44,Oakland,Yes,188
Caucasian,M,45-64,Oakland,No,135
Caucasian,M,18-29,Livingston,Yes,5
Caucasian,F,30-44,Oakland,Maybe,122
Asian,M,65+,Oakland,Maybe,14
Unknown,F,18-29,Oakland,Maybe,4
Hispanic,M,65+,Oakland,Maybe,6
Asian,F,65+,Oakland,No,22
Unknown,M,18-29,Oakland,No,6
Black,M,65+,Oakland,Maybe,86
Caucasian,F,45-64,Macomb,Other/Unknown,10
Unknown,F,45-64,Oakland,Yes,19
Asian,F,18-29,Oakland,No,5
Caucasian,F,65+,Genesee,Other/Unknown,5
Caucasian,F,65+,Macomb,Other/Unknown,22
Asian,F,18-29,Oakland,Yes,11
Caucasian,M,45-64,Oakland,Maybe,208
Caucasian,M,18-29,Oakland,Yes,88
Black,F,65+,Oakland,Maybe,144
Unknown,M,65+,Oakland,Other/Unknown,30
Black,F,30-44,Washtenaw,Yes,3
Caucasian,F,18-29,Oakland,Other/Unknown,281
Black,M,45-64,Oakland,Other/Unknown,573
Black,F,45-64,Wayne,Yes,15
Unknown,F,65+,Oakland,No,5
Asian,F,30-44,Oakland,Other/Unknown,39
Caucasian,F,65+,Oakland,Yes,4048
Unknown,F,45-64,Oakland,No,25
Black,F,45-64,Macomb,Yes,5
Caucasian,F,30-44,Oakland,Other/Unknown,776
Caucasian,M,45-64,Oakland,Yes,895
Caucasian,M,65+,Livingston,Yes,5
Hispanic,M,30-44,Oakland,Yes,11
Asian,F,30-44,Oakland,Yes,30
Asian,M,45-64,Oakland,Other/Unknown,153
Unknown,M,30-44,Oakland,Maybe,5
Black,M,65+,Wayne,Other/Unknown,9
Black,M,45-64,Wayne,No,3
Caucasian,M,30-44,Oakland,Yes,447
Black,F,30-44,Oakland,Yes,137
Unknown,M,45-64,Oakland,Other/Unknown,45
Black,F,30-44,Wayne,Other/Unknown,6
Caucasian,M,45-64,Livingston,Other/Unknown,4
Hispanic,F,45-64,Oakland,Maybe,5
